signature,num_vertices,diameter (qtm),example antipodes (qtm),radius (qtm),example center (qtm),diameter (htm),example antipodes (htm),radius (htm),example center (htm)
0x10840000000C03,127,23,0x48900044001 => 0x48800046800,12,0xa0014d000,15,0x8c00004c01 => 0x8a40004084,8,0xa00145020
0x1082308421C421,452,36,0x1a008c238862 => 0x20ae0113a408,18,0x30016b440306,24,0x8a000fe40822 => 0x8ab00429c220,12,0x18000c3bc061
0x71920080007F,904,71,0x19803c0c5e => 0x49642324314,36,0x301b809c2c04,56,0xb409803e0c01 => 0x184d00406bc2,28,0x400c0607bc3
0x80800420,150,8,0x208440 => 0x208041,5,0x400800840,6,0xc40020 => 0x208440,4,0x1900000020
0x187A00C21,900,35,0x1f68003020 => 0x54005a2008c,19,0xc9168600040,23,0x6f6001420 => 0x54005a2008c,13,0x6b4027020
0x100C00808C043D,449,41,0x700021255b0 => 0xb60810248290,21,0xcb001c085a,33,0x329200c06c02 => 0x188c404005a3,17,0xe90004065a2
0x800080200C2D,224,16,0x712025010 => 0x712181800,8,0x45680200c00,13,0x712181800 => 0x14c00c0403,7,0x2401ab200
0x108430842FC421,896,35,0x88810fe007a2 => 0x21ac4193260c,21,0x31a40383641c,25,0x88810fe00b46 => 0x8a708421b621,14,0x33760181281c
0x1084008FEC0420,224,18,0x2034830d3608 => 0x2035011b6888,11,0x30016bc49044,14,0x306511196808 => 0x20810ff80818,8,0x3064818d6408
0x100780802005AD,448,37,0x50e003005ad => 0x181e40c46802,19,0x400029245bd,31,0x610020245bd => 0x50e003005ad,16,0x49602227811
0x10040087AC0461,895,45,0x212643040b42 => 0x21a44300185a,23,0x50930bc00118,33,0x212643040b44 => 0x21a44300185a,17,0x31640102442d
0x100400B7A00411,447,20,0x640b5a00890 => 0x322401096288,11,0x18016bc00806,15,0x600b7a00811 => 0x18810fe00204,9,0x18016bc00806
0x13FE0080402D,446,43,0x50a5009e082d => 0x5285004fbc0,22,0xf401005f8803,35,0xc0cf060000de => 0x52850248bc3,18,0xc70805c043d
0x108000840D8423,891,24,0xac1136208 => 0x21b40023d,14,0x600301da180,16,0x202703024094 => 0x21b4005a3,10,0x6000433b021
0x1033EC8180005E,223,19,0xc1fa061025b0 => 0xf4c90601b830,11,0x700087be441c,16,0xf4c90601b830 => 0xc2fe0608022d,9,0x700087be441c
0x10040180600C01,111,18,0x4d00002cc00 => 0x65000028c02,11,0x5a00029802,13,0xd200028803 => 0x510400082284,8,0xda00068002
0x210801FC600C42,444,35,0x89800ffc0041 => 0x217601097288,18,0x23b6011b200c,21,0x21ec01896288 => 0x1810a0c17b060,11,0x23b6011b200c
0x108000B46005A1,888,30,0x5160827c040 => 0x8c208bb104,16,0x448042bb021,20,0x54604338022 => 0x508411ba208,11,0x4700df180
0x1005808000042D,226,12,0x406003005a2 => 0x4804012022d,7,0x400401247a0,9,0x20202483d => 0x40040526206,6,0x240526282
0x108401841DCC21,886,63,0x88f004607883 => 0x1a0085a00fe2,32,0x1b800b40007f,54,0xc8e44618622 => 0x70b701809206,27,0x1801889f4c44
0x202B4127000,222,31,0x8b6804e000 => 0x8845ac4004,16,0x40978204c00,18,0x1f68004084 => 0x600b4520003,9,0xc00f4006c00
0x108600B4700421,445,46,0x1b00111b600c => 0x32c005a2408c,23,0x20fe01000863,34,0x8bf004320082 => 0x32c005a2408c,17,0x6408413f420
0x1087F68420042D,441,21,0xb408c42db431 => 0x880f185f88c1,12,0x3001039ff81c,17,0x301260df6306 => 0xc47e863c0444,9,0x71fe0380042d
0x10863084018421,880,23,0x608b5a00888 => 0x6080c238862,14,0x400211f7108,18,0x7080c078860 => 0x608b5a00888,11,0x4000c07f860
0x10800421,449,13,0x242080004 => 0x10600204,8,0x400000461,11,0x10700400 => 0x640220,7,0x1800048040
0x10018080003D,878,25,0x5004204002d => 0x19800015a0,15,0x1600002bc0,21,0x5080088005a => 0x19400008002d,12,0x4011080005e
0x10039A8000043D,439,25,0x1a800222443d => 0x24648820c1418,13,0x1a9e00c00306,19,0x50960090045e => 0x24102401247a1,10,0x1a9e00c0060c
0x10058087AC0411,439,46,0x41768247201 => 0x202f811c0c22,23,0x4001bdc9086,35,0xc1f68640201 => 0x202f811c0c22,18,0x4001bdc9086
0x100400806C043D,438,44,0x1892428005b0 => 0x1a52808e0402,22,0x1b0c00c89014,35,0x1a52808e0402 => 0x1892428005b0,18,0x191e00d80011
0x108000F42005AD,436,20,0x2024c3924314 => 0x2024c3924390,11,0x3000431be218,15,0x20128b400b5a => 0x20c105a00b5a,9,0x3000439b6218
0x108400B43DB5A1,871,26,0x880f685b0bc1 => 0x8803781f8bc1,13,0x50008bcf645e,19,0x8803781fcbc0 => 0x880f685b0bc1,11,0x300085bdf42d
0x100C00B40D87A1,145,21,0xab40d97a2 => 0x8805a1f62d,11,0x60805b1b42d,17,0xab40d87b1 => 0x600b40d97b0,9,0xc00b41dd5a0
0x103FE08104000,453,26,0x58801876808 => 0xd8008836c40,13,0xc00043f8023,16,0xd8008836c40 => 0x20ed01804c01,8,0x2de200d1100
0x7200B7B0001C,219,20,0x8b800ff00441 => 0x32c02189618c,11,0x70008c03fc60,13,0x3280210ff108 => 0x23ae0103ac08,7,0x70008c03fc60
0x1004018C200C61,864,28,0x64031900198 => 0x5221125188,14,0x4003390019c,24,0xec00832884 => 0x5221125188,12,0x4003390019c
0x100000B4000463,431,21,0xb84019030 => 0x40830890310,12,0x400620d0310,15,0xab4004308 => 0x4182009d100,8,0x400620d0310
0x1085F084200C61,862,43,0x317601940063 => 0x88c3041fa820,22,0x701383812c18,30,0x310047a008de => 0x88c3041fa820,15,0x2112031f7018
0x108580802C3421,215,18,0x411805e6c02 => 0x417003a3881,9,0x401803ebc01,13,0x50806c7603 => 0x49702383801,7,0x401803ebc01
0x108000846D8421,859,30,0xc4208b9106 => 0x1852208f2100,16,0x313643800802,21,0x20a44380980c => 0x510084b60c2,12,0x400c381b01c
0x1084018C238061,858,23,0x213c0107a808 => 0x20748101f208,14,0x2000b5b2410c,17,0x20e501836088 => 0x21800c5b8061,9,0x2000b5b2410c
0x1082308423C021,428,36,0x8803fc400830 => 0x20037b40060c,18,0x2000f5a0460c,27,0x20037b400622 => 0x8803fc400111,14,0x30016b409818
0x168400F42005A3,426,34,0x20c1043df821 => 0xb640b42000de,17,0x319203976018,24,0x8a7c845c040c => 0x20c1043df821,12,0x319203976018
0x100400C7AC0421,851,45,0x1b120bcc0020 => 0x20c905ba0804,23,0x19000bc89046,36,0x20c905ba0804 => 0x646b4224088,18,0x51120bc8001c
0x108400842DB631,429,34,0xb6000bc007a3 => 0x5084197f20c,20,0x7000842db631,25,0x70fe03880211 => 0xb6000bc007a3,15,0x7000842db631
0x1800004018631,432,20,0x6b4006c00 => 0x8d68002c00,12,0x400f6000610,15,0x600b4700001 => 0x48168640002,9,0x64004138021
0x470800000043D,212,33,0x198c00480206 => 0x6100206c811,17,0x700002c7201,25,0x78600280091 => 0x5004800c6604,13,0x58e00380011
0x108401FC203C21,212,27,0x88b2441bb220 => 0x89b24413b220,14,0x306d0199680c,19,0x89b24413b220 => 0x88b2441bb220,10,0x30816bc49304
0x2018010004087F,424,54,0x1a920080d304 => 0x509200d09414,27,0x6c800000bda,43,0x199200909414 => 0x50840010047f,22,0x6c800000bda
0x108000B4000C23,421,45,0xc8003812c08 => 0x4884105e008,23,0xe8401d420,27,0xc8003852808 => 0x4884105e008,14,0xe8401d420
0x100400846D8421,421,26,0x8d0419a830 => 0x1852208f4100,13,0x400329b4114,18,0x20a443809814 => 0x586082b00c2,10,0x418601f8300
0x108440842E3421,219,38,0x20c1043a7821 => 0xb441818007a2,19,0x3112039a401c,25,0x7112419a4220 => 0x507e8290010c,13,0x47f003c0860
0x21000B5A00421,430,29,0x182109238c => 0x40821892318,15,0x401fc000183,18,0xa31093308 => 0x60021992118,9,0x401fc000183
0x30000084018423,418,52,0x44020090394 => 0x48968044100,26,0x48008270043,31,0xc8168041100 => 0x40860094184,16,0xca01056008
0x180200C01,104,13,0x252001080 => 0x252001400,7,0x700003010,9,0x252001080 => 0x252001400,5,0x680007000
0x4180600631,214,20,0xd5000069100 => 0x5400168103,12,0x41042248310,14,0x15a00028103 => 0x15a00028c08,8,0x528002d408
0x10079680200C21,207,19,0x7001216c191 => 0x88c1003c7801,10,0x30800296f014,13,0xc24c12149090 => 0x5081005e6822,7,0x30800296f014
0x108030840005A3,826,27,0x50008839c44 => 0x18810d6608,16,0xc00b6124030,19,0x18810d6608 => 0x48108879044,11,0x401180780c3
0x800084218420,412,11,0x51008430040 => 0x706018020,7,0x4008403a020,8,0x41088032040 => 0x706018020,6,0x400010ba008
0x800180600421,120,14,0x5580002014 => 0x5180600082,9,0x548002c400,11,0x440108a2080 => 0x5580002014,6,0x548002c400
0x100401803C7C01,103,20,0x40f803c0c06 => 0x180d805c0c11,10,0x18004296d214,16,0x180d805c0c11 => 0xb6080004007f,8,0x18004296d214
0x108580842E3421,410,23,0x437823c0c41 => 0x477003838c1,12,0x3000429bf214,18,0x2011805f7c02 => 0x437823c0c41,9,0x3000429bf214
0x470800280043D,408,44,0x7100226c811 => 0x19400092f404,22,0x32da0082040c,35,0x18c10082f404 => 0x5004c08c6604,18,0x30d20092440c
0x100580802C043D,406,41,0x25212463d => 0x191e00c46202,21,0xd8e0060045a,33,0x191e00c46202 => 0x180d00406bc2,17,0xd8e0060022d
0x10139E8080003D,406,23,0x20a9c104215a2 => 0xf648828c0601,14,0xf400821e441c,19,0xc4ce023005a1 => 0x1a9e00c800da,12,0xc401009c985e
0x10000080200C63,404,34,0x8f00041108 => 0x6c2000c03,17,0x250001c62,22,0x8f00041108 => 0x6c2000c03,11,0xc0050001c60
0x183FE0C080008,410,27,0x71000c778060 => 0x20748101f608,14,0x21e40183640c,17,0x31641113600c => 0x20e50183640c,10,0x33800fe00460
0x168400B4000463,404,25,0x8d041da830 => 0x18d2208f4100,14,0x6841df420,17,0x60013936098 => 0x690221bc110,10,0x400887f0443
0x18C007C60,416,17,0x63080718001 => 0x3f80018003,10,0x4003192018c,13,0x8f0c042060 => 0x3f80018003,7,0x360201b810
0x80400B40D87A1,137,10,0x1801681f0b41 => 0x6000b47705a,6,0x4000b47685e,9,0x4800b43785a => 0x4800b43745a,5,0x4000b47685e
0x108400B43FF5A1,405,28,0xf5b645a008da => 0xf5b645b24288,15,0xc40085bff42d,22,0xc3800bc3f45e => 0x708045bbf22d,12,0xc40085bff42d
0x300000F4200C21,803,55,0xd800bc00103 => 0xc8168208043,28,0xc00b6200390,33,0xc8168208043 => 0xd800bc00103,17,0x21a641001218
0x1085B084000463,801,30,0x21a6411a1280 => 0x618880fc440,16,0x4018181fc0c,23,0x202e11149188 => 0x618880fc440,12,0x4018181fc0c
0x421,104,7,0x200204 => 0x1c,5,0x340000,5,0x1300 => 0x300002,4,0x1220
0x101000B5A00421,800,21,0x4000fe008c1 => 0xbfc000444,13,0x4000c33c460,16,0xbfc000608 => 0x8c0c138061,10,0x18000c0bd060
0x100000B4000461,399,18,0x440200f0104 => 0x8805b00060,10,0x408b4000460,15,0x20b44010c => 0x8805b00060,8,0xe0405a020
0x108400F62D85A1,399,39,0xb47785a00622 => 0x8840b47d85a1,20,0x700185a3f02d,25,0x8842b44f85a1 => 0xb47785a00306,14,0x700185a3f02d
0x1007AE8020042D,199,17,0x50fa0290045a => 0x2409270526282,9,0x180088dcf406,15,0x50fa0290045a => 0x509260d26206,8,0xf648060007a1
0x1080008C2F8463,792,48,0x202e510de088 => 0x212e5105e088,24,0x20008c5f8463,29,0x3212239d2108 => 0x312c5105e088,15,0x20008c23fc61
0x21000B5A20401,205,20,0x4010fe00083 => 0x37b400211,11,0x400b5b20084,12,0x4016bc00803 => 0x37b400211,7,0x4016b409210
0x10040180600421,206,27,0x45000469800 => 0x44810922004,14,0x450001e8001,20,0x44810922004 => 0x44010924101,10,0x500016f000
0x1084018C238C61,790,31,0x32008c638c62 => 0x217601037888,16,0x3000b5b2418c,23,0x21e40183688c => 0x8df004499220,12,0x30e4018f600c
0x1188008C600421,397,26,0xef0003a400 => 0x57000770002,13,0x5b040618600,17,0x570004d8201 => 0x20522114c108,9,0x7680036404
0x100400B46005A1,788,27,0x508411f2208 => 0x713601880201,14,0x440841fc420,22,0x40985a0022d => 0x713601880201,12,0x4004625b031
0x10800087AC042D,788,26,0x3124510480da => 0x880cf440082d,13,0x2000861fe430,18,0x880cf440082d => 0x880d184780c1,10,0x200087b2403d
0x100000B7A00411,392,19,0x208a21192108 => 0x6008fe00090,10,0x18000fe80014,15,0x6008fe00204 => 0x6008fe00090,8,0x19000fe00014
0x100400F62007A1,782,43,0x333e018c0041 => 0x30c1041bd820,22,0x33be01800460,33,0x30c1041bd820 => 0x333e018c0041,17,0x703781800382
0x108000B42D85A3,391,22,0xc81685b8b40 => 0x19683b4bc0,13,0x400b60da7b0,17,0x15681b0bc3 => 0xc11685b1b40,9,0x5c005a5b02d
0x802C0421,390,11,0x50248880 => 0x40640280004,7,0x400800e2400,9,0x40602280080 => 0x4800c0608,5,0x400800e2400
0x10858085A00C2D,778,39,0x616223b4111 => 0x1a1e88d30440,21,0xc00322db381,28,0x2037031a4894 => 0x2027131c9882,14,0xc00c45f8621
0x180408042,388,19,0x41042080008 => 0x4c0002820,10,0x5200088008,16,0x41042080008 => 0x4c0002820,8,0x1440048100
0x52920080043D,194,15,0x6860020462d => 0x1a9e00c00091,9,0x1a9e00c00406,13,0x1a000084db44 => 0x1a8002227811,8,0xf68000207801
0x1684008C338461,388,36,0xc0fa0619a030 => 0xc1340607d830,18,0x30016bc49306,24,0xc1344417d220 => 0xc1340607d830,12,0x30008ffc0446
0x108001FC600C21,387,40,0x20136b448310 => 0x8800f7a0088c,20,0x21ec018d2018,24,0x8800f7a00c41 => 0x213641093098,12,0x21ec018d2018
0x100000B4600401,387,18,0x2f6000402 => 0x4098101200c,10,0x400f6000280,15,0x440b4120002 => 0x4098101200c,8,0x40046018430
0x100000B4200C03,387,41,0x28b400294 => 0x60818134040,21,0xaf4004c00,24,0xa81017208 => 0xc1168040003,12,0x40007a00c03
0x108400F43237A1,387,21,0x880f78448bc1 => 0x3224838c945e,13,0xc44887bc042d,18,0xc64eb620042d => 0xc57e063005b0,11,0xb400839db41c
0x33B601800C1C,387,39,0xc91682047a1 => 0x198007a00bc3,20,0x72800625b031,29,0x198007a007b1 => 0xc91682047a1,15,0xf8005a2442d
0x84018C200860,201,12,0x43182218001 => 0x3442092280,8,0x470006b0001,10,0x46110630001 => 0x46180438001,5,0x34020db000
0x108400802007BD,199,20,0xc4c802864818 => 0x209240000fe3,11,0x305a0094d00c,14,0xc4c802864818 => 0x209240000fe3,7,0x305a0094d00c
0x230008080002D,386,17,0x40702200c40 => 0x40f0020c100,10,0x40682200043,13,0x4808c0630 => 0x402809c44,7,0x4468020008c
0x100580842D8421,386,19,0xd0e04718022 => 0x18d220899104,12,0x400721b4390,15,0xd8e086300c0 => 0x48043936218,9,0x4005185b28c
0x1080188C09C46,386,34,0x630806205a3 => 0x20922056e102,17,0x3000c432438c,23,0x5b040640b42 => 0x630806205a3,12,0x709308c00318
0x1084318620043D,770,51,0x89f00438005e => 0x326c118800da,26,0x336c11800b42,37,0x89f00438005e => 0x8a4eb440030c,20,0x7000c5b2430c
0x21139308C0085E,387,31,0xf48106227431 => 0x20afc104810da,16,0x5be403207a1,27,0xc580443237a1 => 0x1a7e80c007a1,14,0x1b6c10448bc2
0x100400B46007A1,768,35,0x50cc22093110 => 0x508411f3208,19,0x44005b2442d,26,0x19000b5800da => 0x332c110c8082,14,0x44005b2442d
0x1184008C038463,764,63,0x312c41096288 => 0x213c01097288,32,0x400f7a00391,41,0x212e1109221c => 0x89f004038c21,21,0x400f7a00391
0x180008020042D,190,15,0x4418040e002 => 0x50050486002,9,0x50640288001,12,0x4418040e002 => 0x50050486002,7,0x440100ea080
0x18280000C,378,20,0x44100800108 => 0x4c2001100,11,0x4c0000460,17,0x44100800108 => 0x41102000108,9,0x4c2000220
0x100C00847D8421,378,38,0x588082b70c1 => 0x708082b70c1,19,0x180188436c46,28,0x588082b70c1 => 0x18c0209f9104,14,0x180188436c46
0x180000C21,376,16,0x2c2001080 => 0x242001408,9,0x600103020,11,0x880000c108 => 0x2c2001080,7,0x20200018c
0x108580843E3421,376,27,0x513642924311 => 0x711243924311,15,0x3000129ff094,23,0xb540018047ad => 0xb5400184087f,12,0x3092029bf014
0x10800086200C63,748,53,0x2012c1000c63 => 0xc3080620183,27,0x36c0009618,31,0xc3080620183 => 0x2012c1000c63,16,0xfe000c3020
0x100400847D8421,374,32,0x588082b30c1 => 0x8f0419a830,16,0x51000439b031,21,0x8f0419a830 => 0x1a00886f0442,11,0x51000439b031
0x100400802C3461,195,21,0x61206e890 => 0x447003a4880,11,0x65016e280,17,0x181240960308 => 0x447003a0882,9,0x65016e280
0x108000B46005A3,744,31,0xc30447e022 => 0x8c208fb104,17,0x448042bf021,21,0x6108853e042 => 0x20ac4112c308,12,0x448042bf021
0x1021F68100002D,186,19,0x880d784480c1 => 0x880d78448181,10,0x2000c5be4620,12,0xb408c4338220 => 0x20037844e182,7,0x20008bdc940c
0x201B130080085A,128,12,0x2c01e462d => 0x1a0c10448bc0,7,0xb400821e4411,10,0x1a0c10448bc0 => 0x1a1e00c005a2,6,0x400403277a1
0x108580803C7421,372,32,0xf48100400fe1 => 0xf48040800b5e,19,0x1800429ef214,26,0x5016c092d604 => 0xf48040800b5e,15,0x1800429ef214
0x18000802C0421,371,18,0x4c28c0401 => 0x582809006,10,0x4120ca090,15,0x4c28c0401 => 0x582809006,8,0x50003a3001
0x10039A800005AD,742,86,0x1a0c10c49194 => 0x5080423247b0,43,0x48640327621,69,0x1a0c10c49194 => 0x5080423247b0,35,0xc1e0070043d
0x1007DE80200C01,185,28,0x198040d69206 => 0xf700004007a3,14,0xb6c80084003d,21,0x199240d20286 => 0x50db02802894,11,0x53de02800403
0x10858680200C61,184,16,0x616803e8402 => 0x508409af204,9,0x400c22cb611,11,0x416822c8611 => 0xb40980200bc4,6,0x448802ef401
0x10058680200C01,46,9,0x487003c4800 => 0x40e802c0610,5,0x408802c7401,8,0x40e802c0610 => 0x606802c0610,4,0x400802c3611
0x100400842DB421,193,14,0x48704398830 => 0x1a0c884f0440,8,0x387f81c,11,0xb408b410002d => 0x1a0c884f0440,6,0x387f81c
0x10018087A00C01,367,24,0x41768200c10 => 0xc001b4c8082,14,0xc0087ac0410,18,0xc00b6026410 => 0x41768200211,9,0xc0087ac0401
0xF4200420,366,13,0x7a80220 => 0x1968002020,7,0x400f4200020,10,0x1968002020 => 0x7a80220,6,0x40087a00008
0x8020042D,182,11,0x1200045a => 0x10426402,6,0x4800045a0,8,0x50203401 => 0xc89204,5,0x250000b40
0x72920080007F,363,56,0x70c80210007f => 0x188c00c8f206,28,0x321a00800fe2,43,0x189e00c86282 => 0x70c80210007f,22,0x1801109ed884
0x100C00C5A,362,19,0x4100c8298 => 0x480800b43,11,0x4d600240100,15,0xc00c0800b40 => 0x18c0004b40,8,0x60008905a
0x1087FE8420042D,362,30,0x262fc130810da => 0xf648b6200b46,15,0xf400883ff441,24,0xf648b62007a2 => 0x262fc130810da,12,0xf648b620043d
0x1003D2800005AD,362,38,0x301b809c0c41 => 0xc04b821c0c41,20,0x4de002005ad,31,0xc04b821c0c41 => 0x301b809c0c41,17,0x4de00200b5a
0x108640B4120421,364,31,0x6188813b440 => 0x5284208f2104,16,0x18018103fc08,23,0x61888338442 => 0xcc10403f420,12,0x18018103fc08
0x700182000C3D,722,59,0x30091080063d => 0x1b52009c0022,30,0x19cc0040031c,46,0x3009108007a3 => 0x1bd2008c0022,23,0x19cc00400463
0xC21,90,8,0x3c00 => 0x1230,5,0x400000284,6,0x2610 => 0x300084,4,0x1310
0x100400B7A0043D,360,21,0x18810fe005a2 => 0x321a21892388,12,0x18008fe0045e,15,0x71b601812608 => 0x18810fe0022d,9,0x19800fe0005e
0x800180600C21,179,17,0x5180600086 => 0x5480128003,10,0x568002d000,13,0x5480128003 => 0x5180600086,7,0x528002f000
0x1007A68020042D,179,13,0x481039ad814 => 0x181e60d60202,8,0x4007056f282,11,0x181e60d60202 => 0xb4884412022d,6,0x400c43e7601
0x180400B40DC5A1,122,14,0x1800b41d95b0 => 0xb63605a04604,8,0x1801681f0b46,12,0x1800b41d95b0 => 0xb63e05a40201,7,0x60805a1b83d
0x84318420042D,710,33,0x180c30cb0180 => 0x50044738222,17,0x40672290111,26,0xc07986200204 => 0x180c30cb0180,13,0x410602db101
0x83F6040D8020,708,34,0x20d02109b318 => 0x213c0107e808,17,0x20360319b018,25,0x20986109f108 => 0x20fd0101e408,13,0x20360319b018
0x108580842E7421,354,26,0x517a0284b114 => 0x7012c3924314,15,0x507e8280981c,21,0x7012c3924311 => 0x70db03809114,11,0x3092419ad20c
0x108430843D8421,354,21,0x60e8c238862 => 0x7860c238862,12,0x4010c47f862,14,0x326c1105a288 => 0x8b3c04419620,9,0x18000c5bf062
0x108400862C063D,707,65,0x63082327191 => 0x7a60232c111,33,0x719203800b43,51,0xc4c90384005e => 0xc24e3210042d,26,0x1bfe00c00184
0x1B642000C23,355,24,0x31c8042c4220 => 0x5b84004e840,13,0xff000208103,15,0xdb040449840 => 0x31c8042c4220,8,0xff000600023
0xC40000200C23,353,40,0x40840082294 => 0xc8102800083,20,0xe10125080,23,0x64000182094 => 0xc8102800884,12,0xa10127080
0x21000100000C63,705,54,0x50042800c03 => 0x50052000c03,27,0x1f80005800,31,0x50042800c03 => 0x50052000c03,16,0xf8000d400
0x100000806C0401,88,13,0x40780200204 => 0x40042809804,7,0x40052048280,10,0x40780204004 => 0x40780200204,5,0x40052048280
0x100C00800005AD,352,52,0x60600303111 => 0x2c2124294,26,0x200401fe2,31,0x41800004fe0 => 0x48640203c01,16,0x48042364210
0x1008300441842,96,27,0xd600080294 => 0x318800046220,14,0xc80028c2014,19,0x21880020428c => 0xd600080294,10,0xc00c0208611
0x108430842D8421,703,22,0x20ae4113a208 => 0x6068c238862,13,0x18010c43f062,16,0xa710da198 => 0x20bc4113220c,10,0x2000b5b0442d
0x470800080043D,703,45,0x788002830c1 => 0x198c00489202,24,0x509642800806,35,0x508500982890 => 0x18c10082d404,19,0x1900005c7042
0x100400B4000FE1,350,24,0x4896800007f => 0x4096800047f,12,0x40008777043,19,0x489680005ad => 0xab41005ad,10,0x60e0425b021
0x10840085AC063D,697,49,0x1a1e88d30046 => 0x696223b4111,26,0x320085bc442d,36,0x8a3e8450005e => 0x1a5e20c90186,19,0x30b60196402d
0x10019080000463,696,27,0x5804204002d => 0x1b800015a0,16,0x640003205a0,19,0x61004d188 => 0x4198000402d,12,0x64600200c60
0x108430C620043D,347,46,0x8bf2040225a0 => 0x89800bd89046,23,0x718007aa4031,36,0x21be4108003d => 0x89800bd89046,18,0x700187a2441c
0x1084008C238C63,180,19,0x22f4011d7008 => 0x8a7204599022,12,0x3200219b618c,10,0x30c8218d610c => 0x3208311b610c,7,0x32482189618c
0x108000846D8423,688,25,0x1988233c41 => 0x1ac113e208,14,0x6861db420,18,0x480438db00c => 0x20a44384980c,11,0x640303f8180
0x100440842E3421,354,35,0x20c1043a7801 => 0xb441810007a2,18,0x44e842e0421,25,0x507a8290010c => 0x507a82900118,13,0x46f003c0860
0x108580802005AD,343,30,0x4471024b281 => 0x606122a7011,15,0x4068222f411,24,0x181e40c86082 => 0xc1ec0720280,12,0x406023af011
0x100580808C043D,686,41,0x48642324314 => 0x5013809c0c22,21,0x400c21247b1,31,0x5013809c0c22 => 0x441801c4c2d,16,0x519200800b5a
0x1084008C0F8463,342,31,0x888c0c438c61 => 0x321221892398,16,0xc01fc200bc2,19,0x3224110da298 => 0x888c0c479860,10,0xc01fc20043d
0x10800080800C63,684,52,0x20cb00041108 => 0x74800924100,26,0x60010922184,31,0x20cb00041108 => 0x74800924100,16,0x1e0012d008
0x30018380002D,342,21,0x201383024030 => 0x192c50400060,11,0x57600200860,17,0x187280c00108 => 0x208046283021,9,0x57600200188
0x108030862005AD,342,29,0x2035811e1c08 => 0x2075811c0c22,17,0x200187bc0c30,19,0x21001bd4908c => 0x20118b5c0c0c,12,0x2000f6324630
0x84018C200C60,344,16,0x7780030003 => 0x3642093080,10,0x36020db000,11,0x43180438003 => 0x3cc001a210,6,0x36020db000
0x108430840F8421,682,22,0x888c0c538061 => 0x888c0c438861,13,0x400f5a007a1,15,0x408f5a000da => 0x4810fe000da,10,0x18008fe0042d
0x10038A800C0411,85,19,0x189200909414 => 0x509200909406,10,0x1a8c00406806,15,0x1a8000001b5a => 0x509200909406,8,0x1a8c00406806
0x108400F4200C03,337,23,0x8a32041a1022 => 0x4896824c840,12,0x22be011c0008,14,0xc8105a24c08 => 0x209368400c03,7,0x22be011c0008
0x183F60C000860,336,35,0x89800ff80022 => 0x2174010d7208,18,0x20378301281c,21,0x2174010d7208 => 0x89800ff80022,11,0x20378301281c
0x100401841DCC21,336,27,0x1a122089d304 => 0x6800b400fe1,16,0x18004317621c,23,0x1a0005a005bd => 0xc431841c0c06,13,0x18004317621c
0x3FE0000007F,86,26,0x17e0014007f => 0x719208d0940c,13,0x19e000c00b5e,21,0x5b040401fe2 => 0xc60632203621,11,0x196000449b5a
0x100400B42005AD,670,28,0x21b4007ad => 0x600b440007f,15,0x401861d8c21,22,0x50043176218 => 0x21b40047f,12,0x401861d8c21
0x807184600631,170,18,0x21d00117e008 => 0x21740102dc08,11,0x21d80103e808,11,0x217601169008 => 0x215a0103ac08,7,0x20f701029808
0x108580806C0421,176,26,0xd5e00680280 => 0x5180607283,13,0x54e0028b201,18,0x45780207201 => 0x55801c2c14,9,0x54e0028b201
0x10840085BC0461,667,47,0x1a0c30cb0182 => 0x18cc204b9102,24,0x410203ff101,35,0x18cc20cb0182 => 0x1a0c30cb0182,18,0x410203ff101
0x100401FC200C61,666,35,0x213c0101f608 => 0xd800fe00198,18,0x306d01076808,27,0x21e40103688c => 0xd800fe00198,14,0x21ec0103640c
0xB6008630002D,168,16,0x2081043e3821 => 0x21025017b280,9,0x20008283fc14,12,0x21000283fc14 => 0x319203864110,7,0x2000c42c3631
0x1085F0840005A3,664,38,0x30a5031e4830 => 0x50128bc00b43,21,0x60085be042d,28,0x50128bc00b43 => 0x30a5031e4830,15,0x309208d76042
0x1084308433C421,176,23,0x22f401097288 => 0x70810c23c461,14,0x336c0185201c,16,0x73a401832888 => 0x70a441896288,10,0x33800fe0041c
0x10000180600421,330,19,0x41042049100 => 0x44810920020,10,0x458000a8001,15,0x41042049100 => 0x44810920020,8,0x55000128001
0xB400838C043D,165,16,0x301ac19e0620 => 0x880d185c88c1,8,0x20003236f191,10,0x3000c45e6622 => 0x301260d66302,6,0x20003236f191
0x108580842DF421,657,29,0x61e882f3441 => 0xc437843c0c41,16,0x400721ff390,24,0xb640b4000fe2 => 0xc437843c0c41,14,0x31b643924610
0x184218421,328,15,0x24301a408 => 0x584019030,10,0x40062099100,13,0x24301a408 => 0x440300b0104,7,0x40062098300
0x10040180600401,54,16,0x510400082280 => 0x44810920400,8,0x40052800411,12,0x44810920400 => 0x510400082280,6,0xda00028001
0x180008620042D,328,19,0x53602280022 => 0x47780204008,11,0x47780200808,14,0x56610280042 => 0x53602280022,7,0x77600280040
0x111200800408,334,12,0x10406442 => 0x2205a2,8,0x40010002b40,9,0x1040022d => 0xc09114,6,0x410001b40
0x800080200C63,172,21,0x14c2000c03 => 0x5580000294,11,0x1e8002d000,13,0x1442080294 => 0x14c2000c03,7,0x1e8002d000
0x1080008C03CC61,654,34,0x21e601113088 => 0x20982119218c,23,0x18016bc008c4,21,0x3088210f3108 => 0x20982119218c,14,0x30008fe00c11
